"AWifi","BWifi","CWifi","Cell"
"60","62","71","A"
"61","63","71","A"
"61","63","71","A"
"61","62","71","A"
"61","63","72","A"
"61","63","71","A"
"60","63","72","A"
"62","63","71","A"
"60","63","70","A"
"60","63","70","A"
"61","64","70","A"
"61","62","71","A"
"63","62","71","A"
"60","63","70","A"
"60","62","72","A"
"61","62","71","A"
"61","63","71","A"
"61","62","71","A"
"61","62","70","A"
"61","64","70","A"
"61","63","70","A"
"61","63","72","A"
"62","62","71","A"
"60","62","69","A"
"62","63","70","A"
"62","63","71","A"
"61","63","71","A"
"62","62","72","A"
"62","63","70","A"
"61","63","72","A"
"60","64","71","A"
"61","63","71","A"
"62","63","71","A"
"60","63","70","A"
"61","64","71","A"
"61","62","73","A"
"62","62","71","A"
"61","62","71","A"
"63","63","71","A"
"61","64","70","A"
"62","63","71","A"
"62","63","70","A"
"62","63","71","A"
"61","62","71","A"
"61","63","71","A"
"62","62","72","A"
"61","62","71","A"
"62","63","71","A"
"61","62","71","A"
"62","61","72","A"
"62","63","73","A"
"63","63","71","A"
"61","63","69","A"
"62","63","70","A"
"60","62","70","A"
"62","63","72","A"
"62","63","71","A"
"63","64","72","A"
"60","63","72","A"
"60","63","73","A"
"65","62","77","A"
"60","64","74","A"
"63","63","73","A"
"62","63","72","A"
"61","67","72","A"
"63","63","74","A"
"62","63","73","A"
"62","63","74","A"
"62","64","71","A"
"67","63","72","A"
"65","64","72","A"
"62","63","72","A"
"65","64","72","A"
"62","61","71","A"
"67","64","72","A"
"64","63","72","A"
"63","63","73","A"
"63","63","73","A"
"61","62","74","A"
"62","62","73","A"
"61","61","75","A"
"61","62","73","A"
"63","63","71","A"
"60","62","71","A"
"69","62","74","A"
"60","62","75","A"
"61","64","70","A"
"62","63","74","A"
"63","62","72","A"
"65","63","71","A"
"62","64","70","A"
"65","63","70","A"
"65","62","71","A"
"62","63","69","A"
"62","63","75","A"
"64","62","72","A"
"70","64","71","A"
"62","63","71","A"
"62","64","71","A"
"63","64","70","A"
"61","64","71","A"
"63","63","72","A"
"64","63","70","A"
"61","63","70","A"
"63","62","71","A"
"62","63","71","A"
"62","64","71","A"
"61","63","71","A"
"62","62","72","A"
"61","63","71","A"
"61","64","72","A"
"61","62","70","A"
"62","63","71","A"
"65","63","72","A"
"64","64","71","A"
"64","63","74","A"
"66","61","72","A"
"67","63","72","A"
"68","62","71","A"
"67","63","70","A"
"67","63","72","A"
"64","64","72","A"
"63","64","71","A"
"69","64","75","A"
"70","62","73","A"
"64","64","73","A"
"66","62","76","A"
"59","71","69","A"
"55","63","58","B"
"53","80","54","B"
"53","74","57","B"
"55","77","55","B"
"55","78","55","B"
"54","77","54","B"
"55","76","54","B"
"56","75","55","B"
"57","74","54","B"
"54","73","54","B"
"55","78","55","B"
"55","77","55","B"
"54","77","54","B"
"58","76","54","B"
"55","77","55","B"
"55","77","54","B"
"55","77","55","B"
"54","77","55","B"
"54","77","54","B"
"55","76","54","B"
"55","77","55","B"
"55","77","54","B"
"53","75","55","B"
"54","77","54","B"
"54","77","54","B"
"53","75","54","B"
"54","78","55","B"
"54","79","55","B"
"56","78","55","B"
"54","77","55","B"
"53","79","55","B"
"55","77","54","B"
"54","78","54","B"
"54","77","54","B"
"55","76","55","B"
"54","79","54","B"
"54","76","54","B"
"55","78","54","B"
"54","78","54","B"
"54","77","55","B"
"54","77","55","B"
"54","77","54","B"
"56","75","55","B"
"57","76","54","B"
"55","77","55","B"
"54","75","55","B"
"55","76","55","B"
"55","76","55","B"
"54","77","55","B"
"55","77","54","B"
"54","76","55","B"
"55","77","54","B"
"54","77","54","B"
"55","77","54","B"
"54","77","54","B"
"54","76","54","B"
"55","77","54","B"
"54","77","53","B"
"54","77","54","B"
"53","78","54","B"
"55","76","54","B"
"55","77","54","B"
"55","77","54","B"
"54","74","53","B"
"54","76","55","B"
"55","77","55","B"
"55","78","55","B"
"55","78","54","B"
"56","77","54","B"
"56","75","55","B"
"55","77","54","B"
"53","77","54","B"
"54","77","53","B"
"55","78","54","B"
"55","76","55","B"
"54","77","55","B"
"55","75","54","B"
"54","78","55","B"
"55","77","54","B"
"55","75","54","B"
"55","76","56","B"
"54","77","55","B"
"54","77","54","B"
"54","77","54","B"
"53","79","55","B"
"54","73","55","B"
"54","78","54","B"
"54","77","54","B"
"54","77","55","B"
"54","77","54","B"
"54","77","54","B"
"54","77","54","B"
"53","77","55","B"
"55","77","54","B"
"54","78","55","B"
"53","76","55","B"
"54","76","54","B"
"55","78","55","B"
"55","78","54","B"
"54","77","54","B"
"54","77","55","B"
"54","76","54","B"
"58","77","55","B"
"54","75","54","B"
"53","77","55","B"
"55","77","54","B"
"54","77","54","B"
"60","75","54","B"
"59","72","56","B"
"49","61","50","B"
"49","59","50","B"
"65","59","50","B"
"47","60","51","B"
"48","59","51","B"
"48","60","51","B"
"48","59","52","B"
"49","60","51","B"
"48","58","51","B"
"47","58","51","B"
"48","59","52","B"
"48","59","51","B"
"48","58","51","B"
"47","59","51","B"
"48","60","51","B"
"48","59","50","B"
"49","60","51","B"
"48","59","51","B"
"49","60","52","B"
"47","60","51","B"
"48","58","51","B"
"48","60","50","B"
"48","60","51","B"
"48","59","51","B"
"48","59","50","B"
"48","58","51","B"
"48","59","51","B"
"48","60","50","B"
"49","59","50","B"
"48","59","51","B"
"49","59","52","B"
"48","60","50","B"
"48","59","50","B"
"48","59","52","B"
"48","58","52","B"
"47","57","51","B"
"48","58","50","B"
"48","59","50","B"
"49","59","51","B"
"48","60","50","B"
"48","59","51","B"
"47","59","51","B"
"47","59","50","B"
"49","60","50","B"
"48","59","51","B"
"49","60","51","B"
"48","59","50","B"
"48","59","50","B"
"49","59","50","B"
"48","60","51","B"
"48","59","51","B"
"48","58","51","B"
"48","60","51","B"
"61","59","51","B"
"48","57","50","B"
"48","58","51","B"
"48","59","50","B"
"49","59","50","B"
"47","60","51","B"
"48","59","51","B"
"49","59","50","B"
"48","59","50","B"
"48","60","50","B"
"49","59","51","B"
"49","59","51","B"
"49","60","51","B"
"48","59","50","B"
"48","59","50","B"
"48","59","51","B"
"48","59","50","B"
"48","61","50","B"
"60","67","49","B"
"63","65","51","B"
"64","66","49","B"
"57","64","49","B"
"56","65","43","B"
"54","67","43","B"
"56","65","44","B"
"59","65","44","B"
"58","67","44","B"
"57","63","43","B"
"59","64","44","B"
"55","66","44","B"
"58","65","45","B"
"55","67","44","B"
"62","66","44","B"
"60","66","43","B"
"60","66","45","B"
"61","66","44","B"
"58","68","44","B"
"59","66","43","B"
"58","64","43","B"
"58","65","44","B"
"55","65","44","B"
"61","64","44","B"
"59","65","44","B"
"62","67","44","B"
"57","65","43","B"
"58","66","43","B"
"60","66","43","B"
"57","64","43","B"
"58","65","44","B"
"58","65","43","B"
"56","65","44","B"
"62","63","44","B"
"61","69","43","B"
"56","67","43","B"
"59","67","43","B"
"61","65","44","B"
"59","67","45","B"
"59","67","43","B"
"58","68","45","B"
"57","65","44","B"
"58","67","43","B"
"58","66","44","B"
"57","65","43","B"
"59","66","43","B"
"60","65","44","B"
"60","65","43","B"
"57","66","44","B"
"57","66","43","B"
"59","67","44","B"
"57","66","43","B"
"57","65","45","B"
"57","66","43","B"
"57","66","44","B"
"57","66","44","B"
"58","65","44","B"
"57","65","43","B"
"59","65","44","B"
"58","66","43","B"
"59","67","43","B"
"58","68","43","B"
"57","66","44","B"
"57","64","43","B"
"58","65","43","B"
"58","65","43","B"
"57","67","43","B"
"57","66","44","B"
"58","65","44","B"
"58","64","44","B"
"59","65","44","B"
"57","65","44","B"
"56","65","44","B"
"58","66","43","B"
"61","62","44","B"
"51","65","53","B"
"53","69","54","B"
"50","61","53","B"
"53","61","52","B"
"57","60","53","B"
"51","61","53","B"
"52","61","54","B"
"55","63","53","B"
"50","60","53","B"
"53","63","54","B"
"52","60","53","B"
"54","60","53","B"
"51","61","53","B"
"51","60","53","B"
"54","60","53","B"
"50","61","54","B"
"51","58","53","B"
"50","61","54","B"
"51","61","53","B"
"50","61","53","B"
"49","61","54","B"
"52","60","53","B"
"50","60","54","B"
"49","61","53","B"
"50","62","54","B"
